Neighborhood,Units,YearBuilt,SqFt,Borough,ValuePerSqFt
CHELSEA,31,2002,52645,Manhattan,227.75
CHELSEA,69,1939,51717,Manhattan,209.7
CHELSEA,109,1962,99750,Manhattan,153.28
CHELSEA,14,2004,23052,Manhattan,219.72
CHELSEA,197,1980,117094,Manhattan,230.58
CHELSEA,43,1910,82151,Manhattan,217.28
CHELSEA,12,2002,33378,Manhattan,215.08
CHELSEA,19,2006,27784,Manhattan,193.02
CHELSEA,20,2004,36967,Manhattan,210.32
CHELSEA,12,1900,44800,Manhattan,176.12
CHELSEA,351,1910,552679,Manhattan,262.4
FASHION,52,2006,66978,Manhattan,193.03
FASHION,24,1927,52598,Manhattan,175.16
FASHION,29,1986,26864,Manhattan,175.14
CHELSEA,213,2001,180281,Manhattan,259.36
CHELSEA,62,2001,97866,Manhattan,201.51
CHELSEA,14,1906,31650,Manhattan,126.86
CHELSEA,155,1930,138320,Manhattan,169.9
CHELSEA,35,1900,61572,Manhattan,154.21
CHELSEA,9,1907,19713,Manhattan,209.1
CHELSEA,51,2001,111514,Manhattan,228.62
CHELSEA,18,1910,54708,Manhattan,213.63
CHELSEA,38,2008,70840,Manhattan,270.72
CHELSEA,64,2005,118000,Manhattan,215.77
CHELSEA,26,2006,45457,Manhattan,248.78
CHELSEA,67,1903,120050,Manhattan,265.04
CHELSEA,45,1987,31800,Manhattan,184.65
CHELSEA,28,1875,41294,Manhattan,213.61
CHELSEA,15,1905,32085,Manhattan,213.62
CHELSEA,49,1900,84890,Manhattan,243.61
CHELSEA,52,2006,77419,Manhattan,244.95
CHELSEA,22,1911,58449,Manhattan,213.64
CHELSEA,6,1913,17234,Manhattan,189.04
CHELSEA,13,2003,37035,Manhattan,179.87
CHELSEA,52,1911,68395,Manhattan,230.29
CHELSEA,120,1973,80000,Manhattan,284.39
CHELSEA,20,1950,28124,Manhattan,191.37
CHELSEA,33,2006,66937,Manhattan,248.79
CHELSEA,99,2008,112888,Manhattan,228.62
CHELSEA,20,1920,23621,Manhattan,263.45
CHELSEA,33,1911,75929,Manhattan,246.77
CHELSEA,10,1913,27100,Manhattan,244.98
CHELSEA,203,2006,334205,Manhattan,253.7
CHELSEA,25,1922,48276,Manhattan,213.63
CHELSEA,24,1911,70181,Manhattan,210.56
CHELSEA,8,1905,28339,Manhattan,200.15
CHELSEA,93,1926,94649,Manhattan,254.53
CHELSEA,10,1902,16720,Manhattan,233.13
FASHION,10,1920,14295,Manhattan,166.91
FASHION,45,1929,120453,Manhattan,254.33
FASHION,365,2005,341960,Manhattan,253.66
FASHION,93,2005,75799,Manhattan,258.9
FASHION,337,2008,345294,Manhattan,147.59
FASHION,89,2004,97349,Manhattan,232.76
FLATIRON,133,1989,136255,Manhattan,230.38
FLATIRON,47,2008,66363,Manhattan,248.8
FLATIRON,51,1986,64600,Manhattan,215.68
FLATIRON,15,1910,28804,Manhattan,235.84
FLATIRON,17,1961,38359,Manhattan,211.92
FLATIRON,21,1908,69315,Manhattan,235.84
FLATIRON,10,1906,23591,Manhattan,226.65
FLATIRON,21,1901,35253,Manhattan,234.02
FLATIRON,7,1900,26461,Manhattan,194.55
FLATIRON,57,1906,62219,Manhattan,295.07
FLATIRON,5,1910,11036,Manhattan,179.41
FLATIRON,67,1906,95000,Manhattan,232.74
FLATIRON,18,1912,37400,Manhattan,215.67
FLATIRON,13,2007,24091,Manhattan,242.87
FLATIRON,11,1910,28333,Manhattan,294.36
FLATIRON,17,1906,41659,Manhattan,246.77
FLATIRON,11,1904,32641,Manhattan,235.84
FLATIRON,11,1910,58439,Manhattan,247.47
FLATIRON,4,1883,9599,Manhattan,172.1
FASHION,283,2004,243948,Manhattan,211.34
FASHION,299,2001,211923,Manhattan,258.08
FASHION,75,1984,48861,Manhattan,31.97
FLATIRON,153,1961,158565,Manhattan,237.44
FLATIRON,36,1900,92152,Manhattan,250.66
FLATIRON,17,1907,46424,Manhattan,179.37
FLATIRON,2,1910,3278,Manhattan,250.46
FLATIRON,3,1910,6202,Manhattan,173.65
FLATIRON,14,1903,36638,Manhattan,184.84
FLATIRON,1,1920,1800,Manhattan,182.22
FLATIRON,22,1910,45692,Manhattan,247.48
FLATIRON,51,2007,84733,Manhattan,254.53
FLATIRON,2,1907,2850,Manhattan,204.21
FLATIRON,15,1908,29631,Manhattan,182.92
FLATIRON,11,1906,21375,Manhattan,184.84
FLATIRON,109,1913,191318,Manhattan,189.74
FLATIRON,43,1900,78900,Manhattan,246.77
FLATIRON,124,1913,138922,Manhattan,247.48
FLATIRON,259,1986,282900,Manhattan,265.98
FLATIRON,43,1913,60609,Manhattan,247.47
FLATIRON,423,1985,380448,Manhattan,265.98
FLATIRON,10,1902,27065,Manhattan,173.58
FLATIRON,20,1907,56554,Manhattan,216.08
FLATIRON,78,2008,215976,Manhattan,171.13
FLATIRON,119,1987,123200,Manhattan,229.97
FLATIRON,9,1910,26794,Manhattan,185.6
FLATIRON,190,1910,301945,Manhattan,240.74
FLATIRON,72,1912,180112,Manhattan,210.55
FLATIRON,31,1911,61182,Manhattan,228.97
MURRAY HILL,22,1913,42940,Manhattan,210.55
MURRAY HILL,139,2005,238818,Manhattan,240.74
MURRAY HILL,142,2008,161752,Manhattan,245.67
MURRAY HILL,40,1922,40299,Manhattan,218.62
MURRAY HILL,18,1920,32085,Manhattan,218.61
MURRAY HILL,250,2005,392410,Manhattan,253.99
MURRAY HILL,169,1938,182166,Manhattan,169.81
MURRAY HILL,40,1985,86314,Manhattan,228.61
MURRAY HILL,182,2005,92176,Manhattan,24.74
MURRAY HILL,67,1912,72464,Manhattan,178.56
MURRAY HILL,101,1952,87697,Manhattan,181.12
MURRAY HILL,17,1998,30371,Manhattan,254.35
MURRAY HILL,113,1961,88230,Manhattan,178.56
MURRAY HILL,224,1956,212756,Manhattan,205.82
MURRAY HILL,172,2003,162488,Manhattan,243.03
MURRAY HILL,174,1986,134519,Manhattan,223.34
GRAMERCY,645,1987,575077,Manhattan,262.4
GRAMERCY,53,1955,40279,Manhattan,223.44
GRAMERCY,24,1913,30260,Manhattan,179.21
GRAMERCY,23,1956,8053,Manhattan,189.87
GRAMERCY,51,1909,61406,Manhattan,217.13
GRAMERCY,95,2004,87310,Manhattan,243.16
GRAMERCY,11,1920,36270,Manhattan,153.73
GRAMERCY,40,1930,22300,Manhattan,153.9
MURRAY HILL,25,1920,53181,Manhattan,197.42
MURRAY HILL,29,1920,25354,Manhattan,179.72
MURRAY HILL,12,2006,23122,Manhattan,240.03
MURRAY HILL,52,1984,65112,Manhattan,196.91
MURRAY HILL,53,1987,55715,Manhattan,179.29
MURRAY HILL,71,1988,77154,Manhattan,197.5
MURRAY HILL,15,1920,14000,Manhattan,209.29
MURRAY HILL,79,1988,71011,Manhattan,256.24
MURRAY HILL,330,1961,270870,Manhattan,216.89
MURRAY HILL,28,2002,38960,Manhattan,218.3
MURRAY HILL,78,1963,45116,Manhattan,186.01
MURRAY HILL,101,2006,136474,Manhattan,263.87
MURRAY HILL,109,1924,158571,Manhattan,176.02
MURRAY HILL,176,1960,128571,Manhattan,176.02
MURRAY HILL,43,1924,51562,Manhattan,216.26
GRAMERCY,8,1920,10036,Manhattan,138.1
GRAMERCY,8,1920,8700,Manhattan,138.05
GRAMERCY,32,1915,51136,Manhattan,239.6
GRAMERCY,127,1901,174042,Manhattan,219.21
GRAMERCY,13,1948,30116,Manhattan,158.89
GRAMERCY,64,1920,81685,Manhattan,153.52
GRAMERCY,329,1931,321079,Manhattan,186.71
GRAMERCY,43,1965,29535,Manhattan,153.82
GRAMERCY,49,2006,60117,Manhattan,196.9
MURRAY HILL,80,2001,79132,Manhattan,237.7
MURRAY HILL,30,1925,41297,Manhattan,166.21
MURRAY HILL,25,1983,27950,Manhattan,181.18
MURRAY HILL,165,1990,198838,Manhattan,225.53
MURRAY HILL,191,2007,222784,Manhattan,256.16
MURRAY HILL,44,1960,23653,Manhattan,196.63
MURRAY HILL,118,1963,123404,Manhattan,186.01
MURRAY HILL,234,1988,235948,Manhattan,209.14
KIPS BAY,9,1910,7335,Manhattan,197.41
KIPS BAY,15,1910,20425,Manhattan,166.66
KIPS BAY,98,1905,65393,Manhattan,213.72
KIPS BAY,36,1905,49157,Manhattan,202.62
KIPS BAY,207,2007,233744,Manhattan,268.12
KIPS BAY,128,1956,125776,Manhattan,174.81
KIPS BAY,1121,1962,1171064,Manhattan,127.95
KIPS BAY,205,1961,194733,Manhattan,174.81
KIPS BAY,818,1986,842317,Manhattan,178.91
KIPS BAY,118,1984,119395,Manhattan,209.14
KIPS BAY,586,1967,605018,Manhattan,173.64
KIPS BAY,485,1984,508026,Manhattan,196.47
KIPS BAY,411,1989,510770,Manhattan,202.87
MIDTOWN WEST,445,1927,328716,Manhattan,253.32
MIDTOWN WEST,212,1968,223307,Manhattan,216.22
MIDTOWN WEST,50,1982,96492,Manhattan,187.91
MIDTOWN WEST,65,1926,74422,Manhattan,185.4
MIDTOWN WEST,340,1987,494266,Manhattan,226.22
MIDTOWN WEST,247,1986,399221,Manhattan,193.59
MIDTOWN WEST,38,1916,43765,Manhattan,176.42
MIDTOWN WEST,33,1923,32796,Manhattan,209.48
MIDTOWN WEST,35,1922,88288,Manhattan,175.87
MIDTOWN WEST,103,1926,121921,Manhattan,194.88
MIDTOWN WEST,183,1930,187345,Manhattan,246.2
MIDTOWN WEST,420,1930,340000,Manhattan,216.12
MIDTOWN WEST,79,1950,78236,Manhattan,181.83
MIDTOWN WEST,34,1912,35328,Manhattan,159.02
MIDTOWN WEST,80,1918,87821,Manhattan,181.84
MIDTOWN WEST,218,2006,293691,Manhattan,218.61
MIDTOWN WEST,137,2005,165323,Manhattan,244.51
MIDTOWN WEST,129,1916,128513,Manhattan,169.52
MIDTOWN WEST,90,2003,73690,Manhattan,274.68
MIDTOWN WEST,304,2003,268626,Manhattan,246.42
MIDTOWN WEST,108,2002,210177,Manhattan,262.14
MIDTOWN WEST,484,1987,538783,Manhattan,173.56
MIDTOWN WEST,528,2004,604403,Manhattan,250.79
MIDTOWN WEST,122,2007,125813,Manhattan,244.51
MIDTOWN WEST,704,1989,551052,Manhattan,229.11
MIDTOWN WEST,215,2005,249339,Manhattan,244.51
MIDTOWN WEST,65,1942,54785,Manhattan,178.3
MIDTOWN WEST,65,1947,54655,Manhattan,178.3
MIDTOWN WEST,66,2005,56935,Manhattan,230.19
MIDTOWN WEST,576,1931,609127,Manhattan,214.91
MIDTOWN WEST,595,1978,706825,Manhattan,264.55
MIDTOWN WEST,261,1982,263995,Manhattan,193.59
MIDTOWN WEST,296,1987,314941,Manhattan,258.56
MIDTOWN WEST,20,1987,15764,Manhattan,226.47
MIDTOWN WEST,188,1940,158478,Manhattan,222.83
MIDTOWN WEST,165,1955,377444,Manhattan,230.43
MIDTOWN WEST,65,1955,217897,Manhattan,269.88
CLINTON,262,2000,245000,Manhattan,222.84
CLINTON,58,2007,54027,Manhattan,248.65
CLINTON,21,1920,26041,Manhattan,179.52
CLINTON,34,1986,28692,Manhattan,162.1
CLINTON,28,1920,20655,Manhattan,170.95
CLINTON,16,1901,7812,Manhattan,149.51
CLINTON,34,1986,30457,Manhattan,192.93
CLINTON,83,2007,169323,Manhattan,366.64
CLINTON,95,2008,125313,Manhattan,223.26
CLINTON,29,1986,32906,Manhattan,192.91
CLINTON,27,1928,56495,Manhattan,194.71
CLINTON,98,1986,97365,Manhattan,204.23
CLINTON,16,1910,52794,Manhattan,177.29
CLINTON,67,2008,96337,Manhattan,222.83
CLINTON,25,2001,22475,Manhattan,27.36
CLINTON,311,1988,257680,Manhattan,222.83
CLINTON,160,1912,208598,Manhattan,179.05
CLINTON,72,2005,91749,Manhattan,19.36
CLINTON,151,2003,116904,Manhattan,194.78
CLINTON,45,2006,40594,Manhattan,179.39
CLINTON,108,2008,73634,Manhattan,225.29
CLINTON,58,2005,36933,Manhattan,180.95
CLINTON,233,2005,236187,Manhattan,180.89
CLINTON,281,2005,300239,Manhattan,132.9
CLINTON,68,2005,41598,Manhattan,215.47
CLINTON,27,1910,31779,Manhattan,37.76
CLINTON,222,2009,620611,Manhattan,165.5
CLINTON,83,2005,80136,Manhattan,151.04
CLINTON,107,2005,75593,Manhattan,60.42
CLINTON,1171,2005,994310,Manhattan,169.45
CLINTON,478,2005,467344,Manhattan,226.9
UPPER WEST SIDE (59-79),166,1982,202235,Manhattan,222.83
UPPER WEST SIDE (59-79),158,1960,415113,Manhattan,237.69
UPPER WEST SIDE (59-79),94,1930,125900,Manhattan,210.74
UPPER WEST SIDE (59-79),120,1987,146748,Manhattan,235.39
UPPER WEST SIDE (59-79),202,2005,730068,Manhattan,318.5
UPPER WEST SIDE (59-79),425,1932,598316,Manhattan,250.7
UPPER WEST SIDE (59-79),277,1981,276911,Manhattan,216.22
UPPER WEST SIDE (59-79),549,1979,591835,Manhattan,191.33
UPPER WEST SIDE (59-79),655,1970,806195,Manhattan,250.79
UPPER WEST SIDE (59-79),53,1999,146262,Manhattan,227.13
UPPER WEST SIDE (59-79),11,1983,9335,Manhattan,208.57
UPPER WEST SIDE (59-79),65,1911,87712,Manhattan,215.18
UPPER WEST SIDE (59-79),54,1939,40545,Manhattan,153.83
UPPER WEST SIDE (59-79),26,1986,58898,Manhattan,225.98
UPPER WEST SIDE (59-79),175,1983,154328,Manhattan,189.57
UPPER WEST SIDE (59-79),142,1926,114510,Manhattan,164.27
UPPER WEST SIDE (59-79),132,1928,139400,Manhattan,200.03
UPPER WEST SIDE (59-79),158,1924,239122,Manhattan,223.63
UPPER WEST SIDE (59-79),62,1900,57627,Manhattan,153.66
UPPER WEST SIDE (59-79),13,1910,8625,Manhattan,174.72
UPPER WEST SIDE (59-79),13,1900,6641,Manhattan,227.37
UPPER WEST SIDE (59-79),133,1998,239035,Manhattan,226.87
UPPER WEST SIDE (59-79),498,1986,441871,Manhattan,238.55
UPPER WEST SIDE (59-79),222,1988,269253,Manhattan,209.69
UPPER WEST SIDE (59-79),347,1989,442560,Manhattan,258.56
UPPER WEST SIDE (59-79),143,1995,271808,Manhattan,229.38
UPPER WEST SIDE (59-79),199,1997,320750,Manhattan,237.66
UPPER WEST SIDE (59-79),75,1985,68609,Manhattan,250.78
UPPER WEST SIDE (59-79),281,1992,325921,Manhattan,237.6
UPPER WEST SIDE (59-79),680,1965,665236,Manhattan,190.16
UPPER WEST SIDE (59-79),161,1987,239435,Manhattan,196.45
UPPER WEST SIDE (59-79),83,1903,95930,Manhattan,220.75
UPPER WEST SIDE (59-79),272,1977,218992,Manhattan,201.27
UPPER WEST SIDE (59-79),87,1926,119000,Manhattan,173.55
UPPER WEST SIDE (59-79),122,1989,179380,Manhattan,184.13
UPPER WEST SIDE (59-79),55,1940,43578,Manhattan,178.12
UPPER WEST SIDE (59-79),35,1900,36236,Manhattan,166.02
UPPER WEST SIDE (59-79),66,1905,46142,Manhattan,171.64
UPPER WEST SIDE (59-79),17,2007,45900,Manhattan,258.5
UPPER WEST SIDE (59-79),34,1913,50284,Manhattan,153.79
UPPER WEST SIDE (59-79),62,1952,70100,Manhattan,163.21
UPPER WEST SIDE (59-79),8,1900,13182,Manhattan,206.95
UPPER WEST SIDE (59-79),132,1925,181976,Manhattan,173.14
UPPER WEST SIDE (59-79),28,1900,14940,Manhattan,177.51
UPPER WEST SIDE (59-79),23,1988,47376,Manhattan,209.66
UPPER WEST SIDE (59-79),93,1987,68225,Manhattan,242.2
UPPER WEST SIDE (59-79),98,1930,135531,Manhattan,168.82
UPPER WEST SIDE (59-79),248,1991,264070,Manhattan,187.67
UPPER WEST SIDE (59-79),132,1991,92422,Manhattan,193.98
UPPER WEST SIDE (59-79),1,1991,945,Manhattan,194.71
UPPER WEST SIDE (59-79),172,2005,213067,Manhattan,222.84
UPPER WEST SIDE (59-79),186,2007,259288,Manhattan,222.83
UPPER WEST SIDE (59-79),80,2004,86299,Manhattan,222.83
UPPER WEST SIDE (59-79),40,2007,61344,Manhattan,217.79
UPPER WEST SIDE (59-79),508,1963,471630,Manhattan,127.58
UPPER WEST SIDE (59-79),452,1965,493268,Manhattan,127.56
UPPER WEST SIDE (59-79),454,1963,452258,Manhattan,127.69
UPPER WEST SIDE (59-79),561,1964,640079,Manhattan,127.52
UPPER WEST SIDE (59-79),484,1965,474360,Manhattan,127.54
UPPER WEST SIDE (59-79),170,2006,223560,Manhattan,248.91
UPPER WEST SIDE (59-79),53,1924,62164,Manhattan,61.51
UPPER WEST SIDE (59-79),58,1986,58000,Manhattan,220.33
UPPER WEST SIDE (59-79),20,1912,47000,Manhattan,119.4
UPPER WEST SIDE (59-79),196,2008,203946,Manhattan,258.14
UPPER WEST SIDE (59-79),201,1991,265469,Manhattan,208.68
UPPER WEST SIDE (59-79),159,1926,186929,Manhattan,201.27
UPPER WEST SIDE (59-79),465,1902,446600,Manhattan,127.57
UPPER WEST SIDE (59-79),29,1928,90440,Manhattan,243.9
UPPER WEST SIDE (59-79),92,1922,54975,Manhattan,191.03
UPPER WEST SIDE (59-79),110,1924,107050,Manhattan,180.06
UPPER WEST SIDE (59-79),127,2007,219320,Manhattan,288.85
UPPER WEST SIDE (59-79),16,1920,9957,Manhattan,239.53
UPPER WEST SIDE (59-79),34,2008,91271,Manhattan,230.68
UPPER WEST SIDE (59-79),272,1975,226556,Manhattan,193.49
UPPER WEST SIDE (59-79),161,1908,437054,Manhattan,138.48
UPPER WEST SIDE (59-79),372,1997,512280,Manhattan,242.68
UPPER WEST SIDE (59-79),422,2000,602694,Manhattan,242.74
UPPER WEST SIDE (59-79),167,2004,322204,Manhattan,243.08
UPPER WEST SIDE (59-79),277,2004,263003,Manhattan,243
UPPER WEST SIDE (59-79),266,2006,388033,Manhattan,242.94
UPPER WEST SIDE (59-79),319,2006,287900,Manhattan,115.2
UPPER WEST SIDE (59-79),271,2006,572768,Manhattan,258.3
UPPER WEST SIDE (59-79),403,1962,421100,Manhattan,127.48
UPPER WEST SIDE (59-79),432,1962,383760,Manhattan,127.55
UPPER WEST SIDE (59-79),543,1962,533710,Manhattan,173.97
UPPER WEST SIDE (59-79),148,1930,152076,Manhattan,201.27
UPPER WEST SIDE (59-79),25,1931,45968,Manhattan,127.55
UPPER WEST SIDE (79-96),37,1924,55226,Manhattan,127.48
UPPER WEST SIDE (79-96),10,1910,9075,Manhattan,122.42
UPPER WEST SIDE (79-96),52,1900,39438,Manhattan,183.6
UPPER WEST SIDE (79-96),20,1910,28600,Manhattan,153.85
UPPER WEST SIDE (79-96),36,1988,115502,Manhattan,252.07
UPPER WEST SIDE (79-96),47,1927,39942,Manhattan,127.51
UPPER WEST SIDE (79-96),11,1960,19902,Manhattan,158.63
UPPER WEST SIDE (79-96),85,1929,130259,Manhattan,180.52
UPPER WEST SIDE (79-96),18,1991,53656,Manhattan,190.81
UPPER WEST SIDE (79-96),147,1986,215942,Manhattan,222.31
UPPER WEST SIDE (79-96),91,1920,60653,Manhattan,259.67
UPPER WEST SIDE (79-96),134,1900,148751,Manhattan,198.73
UPPER WEST SIDE (79-96),36,1912,35516,Manhattan,167.67
UPPER WEST SIDE (79-96),59,1900,48846,Manhattan,158.38
UPPER WEST SIDE (79-96),10,1955,8563,Manhattan,170.03
UPPER WEST SIDE (79-96),47,1986,27600,Manhattan,176.81
UPPER WEST SIDE (79-96),79,1929,88916,Manhattan,146.03
UPPER WEST SIDE (79-96),38,1998,70430,Manhattan,169.29
UPPER WEST SIDE (79-96),108,1985,145070,Manhattan,176.27
UPPER WEST SIDE (79-96),47,1900,33570,Manhattan,153.68
UPPER WEST SIDE (79-96),13,1989,27389,Manhattan,176.79
UPPER WEST SIDE (79-96),26,1989,54778,Manhattan,194.88
UPPER WEST SIDE (79-96),59,1990,60767,Manhattan,146.03
UPPER WEST SIDE (79-96),93,1930,100964,Manhattan,145.36
UPPER WEST SIDE (79-96),53,1925,62389,Manhattan,163.15
UPPER WEST SIDE (79-96),279,1973,246842,Manhattan,99.46
UPPER WEST SIDE (79-96),53,1925,55008,Manhattan,139.47
UPPER WEST SIDE (79-96),123,1987,132774,Manhattan,169.27
UPPER WEST SIDE (79-96),28,1910,27772,Manhattan,209.56
UPPER WEST SIDE (79-96),12,2004,21807,Manhattan,203.79
UPPER WEST SIDE (79-96),55,1920,80629,Manhattan,118.42
UPPER WEST SIDE (79-96),117,1912,176424,Manhattan,159.68
UPPER WEST SIDE (79-96),12,1920,8594,Manhattan,168.49
UPPER WEST SIDE (79-96),97,1923,155319,Manhattan,127.48
UPPER WEST SIDE (79-96),306,1985,369189,Manhattan,223.72
UPPER WEST SIDE (79-96),76,1915,147022,Manhattan,127.94
UPPER WEST SIDE (79-96),89,1915,141562,Manhattan,152.58
UPPER WEST SIDE (79-96),45,1912,79554,Manhattan,118.5
UPPER WEST SIDE (79-96),57,1986,60115,Manhattan,277.82
UPPER WEST SIDE (79-96),354,1987,412000,Manhattan,223.72
UPPER WEST SIDE (79-96),60,1920,56306,Manhattan,123.08
UPPER WEST SIDE (79-96),142,1986,134054,Manhattan,198.73
UPPER WEST SIDE (79-96),94,1915,171946,Manhattan,159.68
UPPER WEST SIDE (79-96),15,1910,10789,Manhattan,165.35
UPPER WEST SIDE (79-96),72,1920,147994,Manhattan,161.37
UPPER WEST SIDE (79-96),157,1985,170760,Manhattan,196.25
UPPER WEST SIDE (79-96),93,1922,166559,Manhattan,161.2
UPPER WEST SIDE (79-96),84,1920,118026,Manhattan,127.68
UPPER WEST SIDE (79-96),37,1913,59951,Manhattan,127.52
UPPER WEST SIDE (79-96),47,1916,92402,Manhattan,163.15
UPPER WEST SIDE (79-96),15,1900,15815,Manhattan,174.9
UPPER WEST SIDE (79-96),58,1926,116997,Manhattan,128
UPPER WEST SIDE (79-96),15,1930,16506,Manhattan,174.85
UPPER WEST SIDE (79-96),212,1986,145085,Manhattan,178.8
UPPER WEST SIDE (79-96),24,1920,20118,Manhattan,189.68
UPPER WEST SIDE (79-96),17,1920,25216,Manhattan,178.06
UPPER WEST SIDE (79-96),22,1910,28436,Manhattan,189.69
UPPER WEST SIDE (79-96),70,1950,90566,Manhattan,167.28
UPPER WEST SIDE (79-96),30,2008,192725,Manhattan,323.91
UPPER WEST SIDE (79-96),24,1920,60480,Manhattan,173.86
UPPER WEST SIDE (79-96),54,1923,55190,Manhattan,167.69
UPPER WEST SIDE (79-96),51,1911,78380,Manhattan,190.84
UPPER WEST SIDE (79-96),32,1920,32750,Manhattan,170.29
UPPER WEST SIDE (79-96),30,1902,32905,Manhattan,127.7
UPPER WEST SIDE (79-96),104,1989,167752,Manhattan,240.9
UPPER WEST SIDE (79-96),261,1931,208241,Manhattan,139.45
MIDTOWN WEST,53,2008,70916,Manhattan,273.8
MIDTOWN WEST,152,2005,148385,Manhattan,244.51
MIDTOWN WEST,248,1982,503000,Manhattan,263.03
MIDTOWN WEST,35,1925,44350,Manhattan,169.15
MIDTOWN WEST,183,1963,141738,Manhattan,179.27
MIDTOWN WEST,47,2008,95307,Manhattan,264.46
MIDTOWN WEST,168,1969,206973,Manhattan,216.23
MIDTOWN WEST,88,1901,68219,Manhattan,178.98
MIDTOWN WEST,11,1931,84843,Manhattan,259.3
MIDTOWN WEST,164,1907,395521,Manhattan,357.63
MIDTOWN CBD,23,2007,26026,Manhattan,273.65
MIDTOWN CBD,226,1973,477801,Manhattan,231.13
MIDTOWN CBD,74,2003,115852,Manhattan,271.7
MIDTOWN CBD,244,1983,499668,Manhattan,228.64
MIDTOWN CBD,56,1982,176494,Manhattan,237.44
MIDTOWN CBD,207,1985,185540,Manhattan,227.31
MIDTOWN CBD,145,1951,132205,Manhattan,179.72
MIDTOWN CBD,87,1956,70773,Manhattan,211.49
MIDTOWN CBD,156,1956,141440,Manhattan,213.9
MIDTOWN CBD,75,1956,65658,Manhattan,213.9
MIDTOWN CBD,236,1975,364872,Manhattan,213.1
MIDTOWN CBD,120,1926,221819,Manhattan,216.23
MIDTOWN CBD,105,2001,365000,Manhattan,328.49
MIDTOWN EAST,364,1986,351161,Manhattan,223.71
MIDTOWN EAST,100,1970,60900,Manhattan,178.39
MIDTOWN EAST,18,2001,11861,Manhattan,237.75
MIDTOWN EAST,231,1982,350000,Manhattan,235.13
MIDTOWN EAST,48,1985,77029,Manhattan,211.96
MIDTOWN EAST,92,1957,63927,Manhattan,183.85
MIDTOWN EAST,129,1956,81745,Manhattan,179.19
MIDTOWN EAST,173,1988,164753,Manhattan,231.95
MIDTOWN EAST,261,1979,207246,Manhattan,220.27
MIDTOWN EAST,162,1959,170631,Manhattan,186.85
MIDTOWN EAST,77,2006,105668,Manhattan,241.19
MIDTOWN EAST,174,1985,193134,Manhattan,231.95
MIDTOWN EAST,16,1980,19082,Manhattan,227.91
MIDTOWN EAST,25,1984,46800,Manhattan,239.68
MIDTOWN EAST,27,1901,15410,Manhattan,203.83
MIDTOWN EAST,73,1958,65985,Manhattan,186.71
MIDTOWN EAST,21,1900,17216,Manhattan,238.29
MIDTOWN EAST,135,2006,197233,Manhattan,231.95
MIDTOWN EAST,146,1957,126021,Manhattan,169.33
MIDTOWN EAST,176,1990,237531,Manhattan,235.13
MIDTOWN EAST,40,2000,54638,Manhattan,296.15
MIDTOWN EAST,38,2004,70308,Manhattan,241.55
MIDTOWN EAST,115,1963,128436,Manhattan,161.5
MIDTOWN EAST,260,1964,305093,Manhattan,154.96
MIDTOWN EAST,67,2005,104916,Manhattan,241.5
MIDTOWN EAST,79,1983,127399,Manhattan,231.95
MIDTOWN EAST,113,1980,86845,Manhattan,195.06
MIDTOWN EAST,166,1977,122021,Manhattan,217.46
MIDTOWN EAST,366,2000,825532,Manhattan,334.23
MIDTOWN EAST,141,1962,89872,Manhattan,156.88
MIDTOWN EAST,126,1962,82112,Manhattan,156.88
MIDTOWN EAST,237,1984,438326,Manhattan,232.62
MIDTOWN EAST,16,1900,8214,Manhattan,98.73
MIDTOWN EAST,81,1930,78000,Manhattan,150.97
MIDTOWN EAST,85,1982,119419,Manhattan,228.93
MIDTOWN EAST,20,1982,33376,Manhattan,233.67
MIDTOWN EAST,15,1920,10550,Manhattan,248.15
MIDTOWN EAST,115,1931,93015,Manhattan,152.13
MIDTOWN EAST,23,1900,35615,Manhattan,226.17
MIDTOWN EAST,97,1963,67540,Manhattan,156.88
MIDTOWN EAST,64,2000,158085,Manhattan,276.24
MIDTOWN EAST,85,2006,166692,Manhattan,252.69
MIDTOWN EAST,90,1959,65000,Manhattan,156.88
MIDTOWN EAST,59,1941,53435,Manhattan,161.15
MIDTOWN EAST,118,2003,219278,Manhattan,235.13
MIDTOWN EAST,174,1960,198115,Manhattan,188.03
MIDTOWN EAST,14,2005,41406,Manhattan,298.19
MIDTOWN EAST,42,1981,76035,Manhattan,189.41
MIDTOWN EAST,115,1958,95347,Manhattan,184.3
MIDTOWN EAST,87,2002,171958,Manhattan,271.03
MIDTOWN EAST,189,1958,196802,Manhattan,174.13
MIDTOWN EAST,228,1972,242825,Manhattan,201.95
MIDTOWN EAST,106,1983,174032,Manhattan,252.69
MIDTOWN EAST,60,1929,97636,Manhattan,154.69
MIDTOWN EAST,75,1986,85992,Manhattan,190.6
MIDTOWN EAST,75,1981,61175,Manhattan,220.16
UPPER EAST SIDE (59-79),230,2004,184076,Manhattan,243.71
UPPER EAST SIDE (59-79),216,2006,185948,Manhattan,243.71
UPPER EAST SIDE (59-79),123,2007,158770,Manhattan,232.1
UPPER EAST SIDE (59-79),242,2007,237122,Manhattan,219.58
UPPER EAST SIDE (59-79),126,2002,220037,Manhattan,264.46
UPPER EAST SIDE (59-79),36,1928,78349,Manhattan,187.7
UPPER EAST SIDE (59-79),13,1910,33255,Manhattan,203.79
UPPER EAST SIDE (59-79),10,1912,22612,Manhattan,241.69
