Type,Alcohol,Malic_Acid,Ash,Ash_Alcalinity,Magnesium,Total_Phenols,Flavanoids,Nonflavanoid_Phenols,Proanthocyanins,Color_Intensity,Hue,OD280_OD315,Proline
A,13.78,2.4,2.57,20.04,109.65,2.43,2.78,0.52,3.18,5.88,1.35,4.06,1187.16
A,14.02,2.27,3.14,18.12,104.85,3.12,3.06,0.87,3.25,4.3,1.85,3.88,1187.09
A,13.81,2.18,2.87,18.98,105.37,2.83,2.96,0.57,2.33,3.99,2.1,3.46,1044.17
A,14.41,2.76,2.82,19.18,108.44,3,3.75,0.85,3.78,4.36,1.59,4.46,1122.53
A,13.68,2.38,3.08,19.5,106.61,3.15,4.69,0.68,3.43,5.66,1.44,4.37,1059.4
A,14.29,1.88,3.2,19.87,112.73,2.91,3.15,1.3,3.15,6.01,1.48,3.44,1087.61
A,13.81,2.01,2.65,20.01,110.57,2.69,4.65,0.64,3.96,4.44,2.2,3.1,1000.54
A,14.14,2.51,2.71,17.25,113.27,2.72,3.63,1.3,2.8,6.63,1.43,3.86,1177.67
A,13.78,2.36,2.61,18.78,108.16,3.28,3.43,0.44,3.48,6,1.67,2.97,1117.7
A,14.46,2.18,2.76,18.7,106.91,3.21,3.36,0.78,3.3,5.75,1.78,2.89,1100.32
A,14.02,1.93,2.5,18.66,113.86,3.19,4.37,1.11,2.52,4.01,1.26,2.91,1132.6
A,13.83,2.68,2.57,17.6,110.23,3.39,3.07,1.21,3.28,6.16,1.81,3.88,1186.46
A,14.64,1.58,3.27,21.65,136.99,3.93,4.06,0.99,1.51,8.33,1.89,3.67,1314.99
A,14.51,2.49,2.94,20.32,134.61,3.16,3.99,0.66,3.27,8.35,1.39,3.76,1250.2
A,14.04,1.87,3.13,20.03,134.02,3.6,4.2,0.62,1.39,5.57,2.22,3.13,1277.1
A,14.43,1.89,2.77,21.25,139.71,3.84,4.64,0.99,1.53,6.76,1.43,4.2,1318.63
A,13.88,1.92,3.1,19.6,141.62,3.62,2.99,1.09,3.19,7.56,2.02,3.07,1324.68
A,13.89,1.71,3.39,20.27,134.82,3.83,3.22,1.36,3.28,5.97,2.1,4.26,1334.25
A,14.6,1.61,3.31,22.09,140.63,3.29,4.45,1.04,2.36,6.63,1.58,4.43,1292.44
A,13.86,2.17,3.29,20.87,137.01,3.68,3.27,1.04,2.91,7.41,1.49,4.22,1420.01
A,14.62,1.91,3.44,20.95,137.05,3.35,3.66,1.03,2.79,6.25,2,4.24,1326.11
A,13.79,1.74,3.59,22.28,137.09,3.62,2.95,0.98,2.02,6.51,1.96,4.62,1324.85
A,13.87,1.86,3.2,20.34,139.76,3.3,3.76,0.7,2.18,7.96,1.25,3.1,1379.86
A,14.65,2.48,3.3,21.96,136.63,3.41,3.38,1.13,1.6,7.18,1.43,4.8,1278.56
A,13.97,2.18,3.61,22.43,141.08,3.85,3.25,0.64,1.56,8.39,1.78,3.87,1274.08
A,13.87,1.69,3.66,21.56,136.84,3.7,4.68,1.11,1.56,8.39,2.18,3.61,1257.45
A,14.39,2.26,3.6,19.94,138.39,3.51,4.52,0.94,2.15,7.56,1.34,4.82,1426.25
A,14.12,1.92,3.69,21.71,140.95,3.22,4.23,1.31,1.94,8.28,1.85,4.57,1321.77
A,13.92,2.07,2.75,21.68,132.69,3.64,3.09,0.68,2.45,7.75,1.33,4.5,1300.82
A,14.56,1.75,3.46,21.09,134.31,3.08,3.36,0.62,1.38,7.13,2.23,4.14,1262.22
A,13.81,1.84,3.2,21.45,133.71,3.32,4.43,0.56,1.63,6.46,1.42,4.83,1301.34
A,14.51,1.86,3.04,21.28,138.76,3.26,4.67,1.42,1.63,7.78,2.05,4.64,1393.38
A,13.65,1.82,2.9,20.96,111.07,2.61,3.46,0.37,1.58,4.78,1.37,3.42,1261.92
A,13.79,1.94,3.31,20.63,114.33,2.44,3.58,0.78,1.73,5.79,1.28,3.45,1174.7
A,13.82,1.87,3.1,21.25,114.9,2.71,3.3,1.04,2.34,6.53,1.75,3.5,1269.41
A,14.27,2.25,2.89,19.11,113.3,2.85,4.46,0.7,2.14,5.54,1.47,3.02,1108.34
A,14.07,2.66,2.7,21,114.59,2.67,2.67,0.44,2.88,4.77,1.9,3.94,1256.28
A,13.81,2.63,3.17,20.57,119.43,2.99,3.39,0.76,3.52,6.41,1.92,4.03,1284.32
A,14.11,2.38,2.76,21.23,115.5,3.19,4.02,0.43,1.74,5.38,1.36,3.26,1264.53
A,14.33,2.25,3.48,21.07,115.07,2.58,3.44,0.36,2.41,6.66,1.41,4.75,1273.2
A,13.89,1.84,3.51,21.22,112.18,2.49,4.44,1.1,1.76,5.83,2.01,4.49,1235.56
A,13.81,2.41,2.81,19.13,110.46,2.6,3.31,0.85,2.41,7,1.99,3.05,1280.49
A,14.29,2.72,2.96,20.91,113.63,2.62,3.63,0.91,2.44,4.66,1.52,4.47,1116.77
A,14.33,2.44,3.52,20.62,112.19,2.92,3.58,0.77,1.9,5.81,1.32,4.18,1146.17
A,14.39,2.2,3.57,21.69,116.98,3.19,2.62,1.13,3.13,4.91,1.55,3.37,1109.02
A,14.39,2.77,3.08,19.28,114.19,2.71,2.98,0.93,2.71,7.08,1.86,3.83,1126.21
A,14.33,2,3.12,21.39,119.33,3.22,3.12,1.15,2.63,4.63,1.31,3.96,1195.17
A,14.17,1.96,2.87,21.38,110.78,2.83,2.65,0.62,2.81,5.35,1.22,4.25,1108.45
A,14.49,2.4,2.68,19.64,110.53,2.91,2.66,0.67,1.72,4.83,2.05,3.17,1125.54
A,14.08,2.43,3.16,19.61,114.19,2.92,3.51,0.99,1.87,6.52,1.37,3.99,1255.13
A,14.06,2.69,3.2,20.46,110.63,3.07,3.38,0.42,1.8,6.94,1.95,4.33,1242.1
A,13.69,2.78,3.42,21.28,115.85,2.89,2.7,1.02,3,7.1,2.09,4.24,1235.81
A,13.77,2.23,2.5,22.48,106.61,3.58,3.92,0.95,2.04,7.54,1.79,5.01,966.24
A,14.37,2.05,3.13,23.2,108.63,3.33,3.31,1.17,2.44,5.64,2.02,5.24,1112.85
A,13.83,2.14,3.15,22.47,107,3.2,4.29,0.62,2.4,7.38,1.87,3.89,1038.01
A,13.87,2.02,2.54,22.72,108.6,3.6,4.12,0.9,3.77,7.97,1.51,3.85,1052.69
A,13.95,1.94,2.61,21.02,106.06,3.12,4.09,0.75,3.5,5.52,1.42,3.81,1061.61
A,14.46,2.49,2.86,21.86,101.44,3.29,3.98,0.34,3.32,5.46,1.65,4.17,1040.05
A,14.28,2.16,2.51,22.96,108.43,2.78,3.03,1.24,2.89,7.86,1.91,4.35,936.94
A,13.82,2.71,2.86,22.05,106.09,3.7,3.19,0.86,3.12,6.14,1.29,4.04,1060.02
A,13.87,2.68,3.31,20.79,107.77,3.62,3.83,0.57,2.46,5.72,1.12,3.98,1087.43
A,13.8,2.74,2.78,23.35,101.73,3.31,3.7,0.74,1.93,5.8,1.83,4.5,1065.83
A,14.31,2.1,2.42,21.32,109.55,3.66,3.2,0.7,3.08,5.9,1.7,4.45,1089.22
A,13.85,2.16,2.96,22.23,106.47,3.55,4.48,0.36,2.4,7.86,1.25,3.72,1093.86
A,14.11,2.7,2.62,20.83,104.89,3.03,4.57,0.81,2.52,5.79,1.72,3.58,1116.48
A,14.43,2.26,2.92,23.46,106.64,3.36,3.16,1.12,3.07,6.13,1.29,5.08,1023.8
A,13.61,2.53,2.73,22.76,107.16,2.99,4.45,1.21,3.66,5.62,1.81,3.66,960.84
A,14.39,2.37,2.85,22.68,103.45,3.59,4.03,0.43,3.79,5.44,1.44,4.1,1102.97
A,14.12,1.96,2.73,20.8,102.89,2.84,3.46,1.2,2.87,5.15,1.89,4.95,982.04
A,13.74,2.1,2.73,22.51,105.7,3.5,3.74,0.88,3.03,6.53,2,5.47,1001.24
A,13.81,2.72,3.19,22.29,102.54,3.32,3.15,0.75,2.71,6.2,1.16,4.11,1108.3
A,14.33,2.2,2.74,21.42,101.49,3.34,4,0.29,2.23,8.04,1.39,4.07,929.4
A,13.65,1.65,2.98,15.68,115.88,2.81,4.65,0.72,1.63,6.43,1.58,3.54,1070.65
A,14.09,1.98,3.1,17.57,114.26,2.61,4.59,0.49,2.45,5.37,1.12,4.25,1016.18
A,14.28,2.07,3.07,17.11,117.74,3.59,4.64,1.04,1.38,6.6,1.55,3.03,988.69
A,13.92,2.59,3.6,16.16,116.84,3.21,3.68,0.36,2.25,5.58,1.53,3.67,1034.82
A,14.05,1.91,3.17,15.85,116.16,3.21,4.05,0.8,3.29,7.21,1.13,4.23,936.24
A,13.74,2.24,3.27,15.77,116.97,3.45,3.33,0.77,2.05,7.44,1.41,4.43,1073.19
A,13.9,2.31,3.7,18.31,113.31,3.29,3,0.63,1.8,5.03,1.96,3.77,1011.32
A,14.06,2.25,3.12,18.35,110.73,3.32,4.42,0.53,2,5.98,1.53,4.73,886.5
A,13.96,1.89,3.83,17.65,112.8,3.31,3.7,0.79,2.79,5.04,1.58,3.31,913.71
A,13.88,2.42,3.35,17.16,112.84,3.57,3.57,0.55,3.11,5.19,1.79,4.06,971.58
A,13.86,1.64,3.77,17.75,115.25,2.68,3.4,0.59,2.15,4.68,1.28,3.17,885.38
A,14.08,2.2,3.4,18.21,114.06,2.72,4.57,0.7,2.51,5.21,1.13,3.98,934.37
A,13.29,1.75,3.07,16.73,111.66,3.37,3.78,0.42,3.32,4.97,1.52,2.81,960.08
A,13.93,2.27,3.78,17.22,112.57,3.1,4.27,1.19,3.01,4.99,1.78,3.8,909.2
A,13.58,1.66,3.37,17.55,117.75,2.94,3.08,1,1.68,5.23,1.63,3.43,960.27
A,14.28,2.36,3.34,16.06,118.57,2.74,3.2,0.68,1.98,4.64,1.22,3.22,1022.75
A,14.21,2.48,3.09,15.89,118.16,3.42,4.63,0.49,2.54,6.49,1.43,3.54,1003.15
A,14.21,2.16,3.18,15.72,117.86,2.89,3.67,0.45,3.2,7.03,1.52,3.48,1013.74
A,13.66,2.44,3.14,16.81,113.05,2.93,4.27,1.08,1.58,7.51,1.74,3.54,1055.04
A,13.64,2.56,3.2,17.26,114.75,2.6,3.11,0.48,3.15,7.27,1.41,2.89,1047.41
A,13.34,1.96,2.64,18.04,98.25,3.09,3.7,0.46,3.27,5.19,1.72,2.66,1150.34
A,13.7,2.53,3.35,18.11,108,3.14,3.19,0.85,3.24,5.29,1.69,2.91,1210.56
A,13.62,2.64,3.49,19.8,106.9,2.7,4.17,0.93,1.77,5.72,1.25,4.28,1217.09
A,13.62,2.33,3.24,18.63,98.06,3.17,3.34,0.35,2.12,5.3,1.21,3.43,1301.34
A,13.61,1.79,3.23,19.7,102.34,2.76,2.53,0.77,1.64,6.91,1.4,4.4,1286.59
A,13.67,2.41,3.21,18.8,101.93,2.48,3.41,0.64,2.51,5.1,1.23,3.01,1120.07
A,13.75,2.42,3,19.8,106.96,3.28,3.08,0.87,1.72,6.11,1.96,2.51,1137.49
A,13.06,2.12,3.34,18.27,105.3,3.39,2.5,1.13,1.56,5.8,1.47,3.86,1203.81
A,13.74,1.66,2.81,19.83,106.38,2.72,3.9,1.2,2.51,6.99,1.55,3.27,1128.41
A,13.74,2.47,3.05,18.01,105.74,3.02,3.87,0.43,3.39,7.08,1.62,4.36,1264.81
A,13.83,2.03,3.4,18.86,105.05,2.69,3.88,0.41,1.58,5.65,1.45,3.6,1215.03
A,13.57,2.11,2.71,19,105.03,2.51,2.55,0.92,2.48,5.58,2.12,4.47,1133.04
A,14.01,1.94,2.77,20.55,101.81,2.56,4.35,0.93,2.61,5.17,1.75,2.62,1284.81
A,13.92,1.85,2.65,20.07,102.96,2.99,4.34,1.16,2.22,6.87,1.56,4.23,1218.34
A,14,2.06,3.1,20.48,102.93,3.36,3.36,0.47,1.56,5.95,1.67,3.68,1170.09
A,13.11,2.26,2.56,18.43,101.43,3.42,2.61,0.82,1.53,5.74,2.06,2.65,1105.56
A,13.47,2.41,2.97,20.79,99.76,2.55,4.42,0.69,1.78,5.6,1.19,2.87,1292.76
A,13.44,1.67,3.37,19.48,107.79,2.93,2.95,1.1,2.01,6.09,1.26,3.48,1277.16
A,13.23,2.09,2.57,18.35,99.08,3.05,4.18,0.69,2.5,5.03,2.07,3.45,1198.93
A,13.31,1.65,3.02,18.89,102.56,3.43,2.98,0.74,2.09,6.75,1.73,3.29,1223.21
A,13.36,1.64,2.8,17.74,107.21,2.72,3.25,0.4,2.97,3.94,1.97,3.66,1150.91
A,13.58,1.6,2.76,15.94,102.56,2.95,4.61,0.78,3.04,5.35,1.28,4.32,1165.99
A,13.79,1.61,2.52,15.53,106.35,2.85,4.12,0.3,2.3,5.06,1.36,3.01,1069.52
A,13.62,2.39,2.75,15.53,103.46,2.99,2.88,1.19,2.23,6.6,1.49,4.27,1135.9
A,13.81,1.91,2.19,17.95,106.76,3.07,3.53,0.38,2.55,3.82,1.96,2.88,1108.12
A,13.08,2.18,2.24,15.68,100.69,2.5,4.26,0.55,1.55,3.87,2.02,3.49,1030.9
A,13.21,1.8,2.36,17.79,106.51,3.1,2.93,0.34,3.08,6.24,1.91,4.41,1127.26
A,13.59,1.52,2.7,17.62,104.91,3.2,4.28,1.22,1.9,5.44,1.28,2.8,1156.45
A,13.75,2.08,2.62,16,103.77,2.67,3.56,0.39,2.55,3.87,1.95,3.52,1121.19
A,13.74,2.42,2.92,17.24,99.75,3.25,3.39,1.23,3.36,5.63,1.68,4.2,1092.16
A,13.84,2.23,3.04,15.87,102.44,2.63,4.46,1.19,1.48,4.99,1.47,3.79,1126.81
A,13.5,1.94,2.69,17.16,102.61,2.82,4.26,0.44,1.5,5.37,1.55,3.71,1102.64
A,13.8,2.27,2.99,16.61,102.81,2.6,2.64,1.12,2.2,6.16,1.43,4.62,1107.96
A,13.69,1.58,2.89,17.34,101.4,2.42,3.98,0.59,3.19,4.76,1.38,3.86,1142.93
A,13.3,2.38,2.94,17.87,98.81,2.89,4.54,0.87,2.23,4.3,1.82,2.86,1194.79
A,13.88,1.74,2.15,17.27,98.33,2.65,3.34,1.15,1.62,6.7,1.24,3.14,1070.74
A,13.21,2.05,2.49,17.22,101.73,2.75,4.15,1.1,1.87,4.8,2.11,4.25,1086.46
A,13.82,1.79,3.07,15.96,105.73,3.14,2.79,1.05,1.68,6.65,1.82,3.64,1074.37
A,13.61,2.3,2.92,17.37,107.61,3.1,3.58,1.23,2.77,5.57,1.5,4.1,1048.91
A,13.8,2.19,2.71,18.19,105.08,2.61,2.98,1,2.43,4.11,1.61,3.13,1072.89
A,14.9,4.52,2.55,16.14,129.11,3.82,4.48,0.58,2.44,6.32,1.35,4.56,882.91
A,14.33,4.19,3.14,14.86,131.6,3.49,3.73,1.03,3.17,5.8,1.04,3.98,959.35
A,15.05,4.29,2.68,14.23,131.3,3.07,4.76,0.8,3.77,7.06,1.69,4.99,887.29
A,14.77,4.29,2.98,13.91,134.08,3.79,3.14,0.39,2.65,5.3,0.9,4.3,854.6
A,14.69,4.48,3.49,15.59,137.99,3.98,4.53,0.44,2.11,6.48,0.93,5.39,772.96
A,15.21,4.56,3.05,15.09,133.03,3.16,3.4,1.03,2.98,7.02,1.25,4.22,957.87
A,14.52,4.33,2.92,13.28,132.97,3.17,4.2,0.26,3.49,6.78,1.52,5.16,898.95
A,14.54,4.78,3.49,13.48,136.13,3.29,3.67,0.73,2.77,6.93,1.25,3.77,779.05
A,14.46,4.47,2.77,15.15,136.32,3.07,3.99,0.31,2.71,7.67,1.47,4.74,773.51
A,14.39,4.86,2.72,15.34,134.78,3.48,3.68,0.62,3.89,6.35,1.13,4.24,907.73
A,14.64,4.45,2.65,15.4,128.3,3.94,4.11,0.96,3.51,6.16,1.45,3.72,924.83
A,14.34,4.29,2.8,13.54,131.51,3.16,4.01,0.52,3.15,7.81,1.47,3.62,777.51
A,14.67,4.24,2.59,14.77,134.76,3.2,3.06,0.46,3.24,6.23,1.89,4.85,843
A,14.69,4.82,2.72,15.9,128.35,3.31,3.37,0.61,3.32,7.94,1.09,3.73,850.36
A,14.68,4.41,3.35,15.11,135.18,3.19,4.01,0.45,3.23,6.35,1.57,4.69,838.11
A,14.65,4.06,2.91,13.26,132.94,3.34,3.55,1.18,2.5,6.86,1.36,4.41,896.7
A,14.6,3.99,2.95,14.85,133.53,3.61,4.94,1.11,2.28,5.78,1.02,5.51,809.84
A,14.32,4.28,3.35,13.45,130.23,3.53,4.36,0.93,3.51,6.53,0.97,3.99,832.43
A,14.96,4.9,2.73,14.37,128.41,3.71,3.05,0.43,2.98,7.37,1.78,4.09,856.3
A,15.22,4.66,3.28,13.4,128.32,3.76,3.53,1.15,3.74,6.07,1.71,4.19,924.97
A,13.61,2.06,2.47,18.54,125.34,4.02,4.68,0.5,3.39,6.29,1.66,4.69,862.64
A,14.44,1.85,3.05,17.45,123.99,3.64,4.32,1.1,3.01,7.62,1.22,4.03,876.67
A,13.94,2.26,2.94,16.56,118.57,3.55,5.03,1.1,2.93,8.05,1.61,4.42,853.84
A,14.2,1.86,2.96,16.23,124.52,3.51,4.62,0.95,3.17,7.58,1.53,5.21,902.01
A,14.19,2.42,2.98,16.65,121.39,3.87,5.19,0.49,3.02,8.26,1.84,4.1,959.53
A,13.63,1.98,3.14,16.78,121.46,3.56,5.23,0.34,3.52,6.72,1.02,5.24,920.02
A,14.41,2.06,2.8,19.2,118.85,4.01,4.34,0.53,3.3,6.65,1.11,3.43,989.75
A,14.3,2.53,2.59,18.74,126.4,3.45,4.89,0.51,3.06,8.26,0.95,4.86,845.58
A,14.37,1.92,2.41,17.8,125.97,3.77,4.77,0.9,3.05,6.4,1.64,4.91,827.42
A,14,1.93,2.65,18.61,121.09,3.56,3.73,1.21,3.6,9.13,1.76,3.6,932.77
A,13.82,2.08,2.94,18.73,124.15,4.13,3.55,1.23,3.85,8.08,1.35,3.9,905.69
A,14.3,2.56,2.51,17.03,121.87,3.77,5.14,0.74,3.02,6.88,1.92,3.56,984.75
A,14.35,2.57,2.33,18.75,126.42,3.67,5.17,1.11,3.85,8.64,1.06,4.56,801.84
A,14.39,2.19,3.15,18.49,120.18,3.25,4.8,0.75,2.61,9.09,1.5,5.19,900.53
A,14.2,1.74,2.83,17.14,119.35,3.19,3.88,0.41,3.85,6.63,1.11,4.39,854.87
A,14.2,2.36,2.56,16.41,121.99,3.28,3.73,0.98,4.16,9.02,1.55,4.48,815.65
A,13.99,2.66,2.95,16.22,125.48,3.85,5.2,1.28,3.35,7.06,1.82,4.11,946.23
A,14.56,2.66,2.58,18.53,118.32,3.2,3.6,1.13,3.02,7.83,1.1,5.01,959.4
A,14.11,1.79,3.16,18.5,118.7,4.14,3.97,1.13,3.64,6.24,1.73,5.11,831.88
A,13.93,1.82,2.96,16.35,119.08,3.42,4.5,1.09,4.06,6.22,1.06,4.33,810.39
A,14.06,4.15,2.63,21.49,90.62,3.05,4.32,1.11,3.13,6.93,1.78,4.82,1172.31
A,13.62,4.48,2.31,18.91,96.29,2.48,4.18,1.07,2.81,5.04,1.15,4.57,1230.36
A,13.66,4.09,3.09,21.49,95.72,2.67,3.06,0.63,3.04,6.42,1.72,4.22,1170.28
A,13.5,3.85,2.63,19.24,97.3,3.13,2.99,0.74,2.6,5.07,1.85,3.75,1089.73
A,13.88,4.72,2.73,21.07,92.11,2.91,4.67,1,3.06,5.52,1.02,4.71,1126.29
A,13.57,4.31,2.6,21.65,94.08,2.92,3,0.97,3.26,6.28,1.56,5,1117.16
A,14.39,4.46,2.45,20.08,92.77,2.83,4.57,0.97,1.8,6.2,0.99,4.86,1089.33
A,13.85,4.26,2.69,19.08,93.73,3.11,3.52,0.32,2.34,6.06,1.37,3.95,1221.26
A,13.94,4.57,2.46,21.67,92.8,3.35,3.95,0.36,1.96,6.48,1.06,3.11,1088.9
A,13.73,3.98,2.97,21.12,92.24,2.64,3.94,1.21,1.86,7.19,1.32,3.98,1134.92
A,13.78,4.39,2.2,21.08,95.22,2.97,3.01,0.47,3.16,6.98,1.67,3.15,1196.74
A,13.95,4.08,2.28,21.33,90.88,2.56,3.92,0.41,1.7,4.37,1.35,4.42,1182.77
A,13.84,4.23,3.1,19.91,91.01,3.39,4.29,1.04,2.52,7.22,1.76,4.75,1138.24
A,13.44,4.22,2.57,20.73,98.94,3.04,4.55,0.46,3.07,6.63,1.84,4.1,1054.57
A,13.99,3.86,2.53,20.66,90.76,2.55,3.27,1.16,2.72,6.27,1.25,3.27,1139.24
A,14.24,4.11,2.15,20.11,98.15,3.08,3.52,0.53,2.9,5.59,1.27,3.02,1054.28
A,13.53,4.47,2.34,20.23,93.73,2.52,3.47,0.88,2.03,6.47,1.07,3.58,1137.34
A,13.89,4.02,2.97,20.52,95.45,2.67,3.78,0.91,2.02,4.7,0.94,4.41,1061.13
A,14.22,4.69,2.86,19.91,91.3,3.02,2.73,0.54,3.31,4.49,1.6,4.77,1047.96
A,13.67,4.04,2.81,20.93,96.02,3.15,3.28,0.37,2.33,5.85,1.58,3.93,1051.56
A,14.16,2.77,2.72,15.3,107.79,4.03,4.79,0.69,3.54,5.79,1.02,4.82,1294.22
A,14.55,2.63,2.97,15.77,103.9,3.69,4.61,0.75,1.79,6.64,1.03,4.76,1141.42
A,14.66,2.7,3.44,17.04,108.3,3.45,3.92,0.3,2.38,6.82,0.98,3.63,1137.96
A,13.94,2.51,3.39,17.7,102.75,3.72,3.98,0.68,2.73,7.94,1.34,4.76,1096.46
A,14.29,2.53,3.2,15.55,107.94,3.65,4.58,0.37,1.7,5.5,1.37,4.57,1125.71
A,14.18,2.19,3.04,17.88,108.81,3.48,4.9,0.79,3.07,5.44,1.63,3.66,1268.87
A,14.09,1.98,2.91,15.95,105.59,3.42,3.68,0.83,2.79,5.91,1.25,5.04,1287.44
A,14.71,2.25,2.91,17.02,106.92,4.21,4.24,0.25,3.62,5.6,0.93,3.94,1113.86
A,13.92,2.37,3.14,15.87,101.37,4.03,3.88,0.21,3.53,6.07,1.76,5.34,1256.58
A,14.71,2.46,3.55,15.4,110.25,3.56,5.02,0.45,1.88,5.48,1.85,4.48,1285.26
A,14.05,2.43,2.63,16.8,101.91,3.79,5.1,1.03,2.01,8.04,1.77,4.8,1171.25
A,14.82,2.2,3.27,16.17,104.84,4.21,4.63,0.51,3.46,7.77,1.51,5.25,1284.81
A,14.43,1.98,3.28,15.08,103.02,3.5,4.84,1,3.09,8.35,1.59,4.44,1171.14
A,14.65,2.04,2.93,16.62,104.75,3.55,5.3,0.47,2.05,7.89,1.57,4.72,1124.02
A,14.27,2.55,3.32,17.9,107.32,3.64,3.63,0.34,1.74,7.05,1.49,3.75,1110.48
A,14.6,2.41,3.54,15.07,108.73,3.43,4.95,0.65,1.73,6.4,1.03,3.88,1150.49
A,14.23,2.18,3,16.2,101.24,3.58,3.65,1.08,1.74,5.57,1.67,4.04,1189.4
A,14.38,2.04,2.84,15.83,104.09,3.29,3.87,0.83,1.8,6.58,0.96,4.94,1198.92
A,14.06,2.57,2.78,17.01,102.92,3.66,4.42,0.77,2.17,7.08,1.37,5.42,1217.51
A,14.45,2.28,2.81,15.58,110.91,3.84,4.8,0.88,3.34,7.13,1.75,5.18,1112.56
A,13.27,4.78,3.01,19.97,112.84,3.08,2.66,1.12,3.48,6.2,1.58,4.02,771.01
A,13.41,4.53,3.05,19.9,105.23,2.76,4.12,0.51,3.46,5.97,1.81,3.62,832.54
A,13.74,4.51,3.14,19.79,109.37,2.78,3.62,1.13,2.01,6.78,1.4,4.42,777.76
A,13.8,4.88,2.83,19.31,108.58,2.68,2.87,0.38,3.12,5.75,1.37,4.42,816.31
A,13.49,4.06,3.21,19.9,105.26,2.76,2.86,0.75,1.81,4.59,1.72,4.69,780.26
A,13.87,4.65,3.26,18.5,110.64,3.63,4.42,0.61,1.74,6.58,0.91,3.35,835.15
A,13.34,4.48,2.93,20.18,111.63,3.58,4.21,1.17,3.38,7.05,1.13,4.47,774.66
A,13.95,4.84,2.32,19.34,111.98,3.47,4.17,0.87,2.06,4.43,1.17,3.61,841.49
A,13.41,4.8,2.97,18.27,110.34,3.49,3.42,0.49,3.65,6.95,1.59,3.34,727.76
A,14.14,4.79,2.85,20.19,104.88,2.85,4.19,0.75,2.59,5.54,0.99,3.37,716.32
A,13.71,4.97,2.62,19.91,109.21,2.97,3.44,1.21,2.13,6.62,1,4.36,768.14
A,13.43,4.32,2.93,18.31,106.13,3.45,4.38,1.24,2.56,7.15,1.36,4.62,822.85
A,13.9,4.03,2.55,19.27,111.4,3.01,2.75,0.9,2.35,5.69,1.58,3.95,745.44
A,13.92,4.88,3.17,20.34,104,3.62,4.27,0.74,2.95,5.01,1.54,4.65,696.32
A,13.46,4.14,2.86,18.8,107.66,2.85,4,0.66,2.38,4.84,1.75,4.95,816.51
A,13.34,4.68,2.72,19.39,105.72,3.49,4.37,0.37,2.7,6.78,1.68,3.29,785.19
A,14.21,4.59,3.29,19.51,112.55,3.61,3.31,1.06,3.15,4.82,1.65,4.86,730.34
A,13.25,4.08,2.91,19.38,108.82,2.94,3.96,1.28,2.81,6.33,0.99,3.91,736.84
A,13.67,4.03,3.13,18.25,110.8,3.13,4.05,1.03,3.06,6.65,0.96,5,688.52
A,13.51,4.52,3.02,17.77,108.59,3.26,3.74,0.98,2.36,7.18,1.67,3.19,685.56
A,13.07,2.15,2.4,17.95,110.56,3.7,3.48,0.48,3.99,5.17,1.21,3.85,1000.68
A,13.42,2.08,2.26,17.77,116.52,3.67,4.4,0.64,3.31,5.26,1.23,4.68,1027.84
A,13.23,1.94,3.03,18.31,112,3.08,4.25,1.23,3.1,6.09,1.11,5.07,994.7
A,13.8,2.68,3.09,17.52,110.72,3.06,3.77,0.95,2.52,5.96,1.11,4.49,969.3
A,13.92,2.3,2.92,19.56,109.89,3.56,3.66,0.77,2.44,5.35,1.23,3.84,986.97
A,13.73,2.02,2.3,18,108.1,3.12,4.89,0.93,2.08,7.07,1.23,5.34,1075.78
A,13.63,1.95,2.78,18.47,112.52,3.1,4.86,0.59,3.79,6.59,1.27,4.38,1057.21
A,13.38,1.93,2.38,18.72,107.63,3.92,3.8,1.14,2.86,6.51,1.71,5.03,911.43
A,13.57,2.06,2.21,18.62,107.52,3.97,4.01,1.07,2.23,6.37,1.56,5.33,958.21
A,13.89,2.74,2.66,18.17,108.98,3.43,3.02,0.51,3.48,6.73,1.81,5.29,1007.3
A,13.14,2.49,3,18.59,113.42,3.13,3.4,0.86,2.57,7.57,1.86,4.97,909.71
A,13.22,2.29,2.64,18.05,110.45,3.26,4.86,0.42,2.67,5.15,1,5.03,897.72
A,13.95,2.76,2.51,19.59,111.91,3.74,4.71,0.67,2.54,6.92,1.62,4.78,941.58
A,13.2,1.96,2.76,17.93,107.21,3.69,4.21,0.6,2.38,5.87,1.22,4.7,1012.99
A,13.11,2.44,2.78,19.45,108.85,3.55,4.37,1.27,3.85,5.5,1.01,4.18,888.89
A,13.19,2.43,2.98,17.74,114.43,3.15,3.57,0.64,3.98,7.45,1.71,5.26,1055.39
A,13.67,1.79,2.88,19.74,111.81,3.93,3.4,0.48,3.36,5.2,0.95,4.22,1063.78
A,13.52,2.57,2.13,18.09,115.21,3.77,4.42,1.09,3.62,6.38,1.11,4.31,971.64
A,13.18,2.13,2.62,18.32,108.36,3.12,4.17,0.52,2.17,5.12,1.28,4.25,1063.62
A,13.89,2.53,2.52,18.93,112.26,3.55,4.14,0.56,4.02,6.78,1.73,5.02,957.06
A,14.62,4.97,2.69,20.82,115.71,3.13,4,0.5,1.96,5.63,1.69,4.63,1118.09
A,14.9,4.97,3.27,20.13,118.25,3.2,3.92,1.29,3.12,7.44,1.4,3.68,1152.34
A,14.74,4.08,2.76,21.07,113.55,3.26,2.93,0.98,2.46,6.93,0.94,5.26,1168.17
